,Date,Open,High,Low,Close,Volume,Ema9,Ema15,EmaStatus,Call,Diff,info
55,2023-10-20 15:15:00,563.05,563.65,562.1,562.8,1193055,565.58,567.5,DOWN,None,-1.919999999999959,"[-1.8099999999999454, -1.919999999999959]"
56,2023-10-23 09:15:00,563.1,566.0,560.5,560.8,1881267,564.63,566.66,DOWN,None,-2.0299999999999727,"[-1.8899999999999864, -2.0299999999999727]"
57,2023-10-23 10:15:00,560.75,562.3,560.5,561.75,988004,564.05,566.05,DOWN,None,-2.0,"[-1.919999999999959, -2.0]"
58,2023-10-23 11:15:00,561.7,561.9,560.2,560.9,1106463,563.42,565.41,DOWN,None,-1.990000000000009,"[-2.0299999999999727, -1.990000000000009]"
59,2023-10-23 12:15:00,560.95,562.85,559.95,560.25,1752016,562.79,564.76,DOWN,None,-1.9700000000000273,"[-2.0, -1.9700000000000273]"
60,2023-10-23 13:15:00,560.35,562.0,559.15,559.6,1781675,562.15,564.12,DOWN,None,-1.9700000000000273,"[-1.990000000000009, -1.9700000000000273]"
61,2023-10-23 14:15:00,559.5,560.45,552.25,552.7,3074827,560.26,562.69,DOWN,None,-2.4300000000000637,"[-1.9700000000000273, -2.4300000000000637]"
62,2023-10-23 15:15:00,552.7,553.1,551.0,552.4,1248616,558.69,561.4,DOWN,None,-2.7099999999999227,"[-1.9700000000000273, -2.7099999999999227]"
63,2023-10-25 09:15:00,558.6,558.6,553.6,557.9,3418138,558.53,560.97,DOWN,None,-2.4400000000000546,"[-2.4300000000000637, -2.4400000000000546]"
64,2023-10-25 10:15:00,557.9,560.15,557.5,559.35,2302091,558.69,560.76,DOWN,None,-2.0699999999999363,"[-2.7099999999999227, -2.0699999999999363]"
65,2023-10-25 11:15:00,559.35,560.8,557.2,559.45,1423512,558.85,560.6,DOWN,None,-1.75,"[-2.4400000000000546, -1.75]"
66,2023-10-25 12:15:00,559.35,559.8,554.35,554.35,1439842,557.95,559.82,DOWN,None,-1.8700000000000045,"[-2.0699999999999363, -1.8700000000000045]"
67,2023-10-25 13:15:00,554.55,559.0,554.0,559.0,1408696,558.16,559.72,DOWN,None,-1.5600000000000591,"[-1.75, -1.5600000000000591]"
68,2023-10-25 14:15:00,558.85,559.0,555.7,555.85,1292251,557.7,559.23,DOWN,None,-1.5299999999999727,"[-1.8700000000000045, -1.5299999999999727]"
69,2023-10-25 15:15:00,555.9,556.7,555.55,556.6,747707,557.48,558.9,DOWN,None,-1.419999999999959,"[-1.5600000000000591, -1.419999999999959]"
70,2023-10-26 09:15:00,551.45,552.9,547.5,551.2,3646687,556.22,557.94,DOWN,None,-1.7200000000000273,"[-1.5299999999999727, -1.7200000000000273]"
71,2023-10-26 10:15:00,551.2,551.8,548.55,549.05,2191749,554.79,556.83,DOWN,None,-2.0400000000000773,"[-1.419999999999959, -2.0400000000000773]"
72,2023-10-26 11:15:00,549.05,549.05,545.4,545.5,1933638,552.93,555.41,DOWN,None,-2.480000000000018,"[-1.7200000000000273, -2.480000000000018]"
73,2023-10-26 12:15:00,545.4,546.8,543.2,545.25,2967716,551.39,554.14,DOWN,None,-2.75,"[-2.0400000000000773, -2.75]"
74,2023-10-26 13:15:00,545.35,548.7,543.2,544.6,2847121,550.03,552.95,DOWN,None,-2.9200000000000728,"[-2.480000000000018, -2.9200000000000728]"
75,2023-10-26 14:15:00,544.6,547.35,543.35,547.2,4277968,549.47,552.23,DOWN,None,-2.759999999999991,"[-2.75, -2.759999999999991]"
76,2023-10-26 15:15:00,547.05,548.0,546.1,547.0,1503808,548.97,551.58,DOWN,None,-2.6100000000000136,"[-2.9200000000000728, -2.6100000000000136]"
77,2023-10-27 09:15:00,550.0,556.75,550.0,555.5,2512754,550.28,552.07,DOWN,None,-1.7900000000000773,"[-2.759999999999991, -1.7900000000000773]"
78,2023-10-27 10:15:00,555.55,560.85,555.25,560.55,2106927,552.33,553.13,DOWN,None,-0.7999999999999545,"[-2.6100000000000136, -0.7999999999999545]"
79,2023-10-27 11:15:00,560.5,561.5,558.75,559.05,1221729,553.68,553.87,DOWN,None,-0.19000000000005457,"[-1.7900000000000773, -0.19000000000005457]"
80,2023-10-27 12:15:00,559.05,559.7,558.35,558.9,1056872,554.72,554.5,UP,CE,0.22000000000002728,"[-0.7999999999999545, 0.22000000000002728]"
81,2023-10-27 13:15:00,558.9,560.65,558.85,560.35,1021183,555.85,555.23,UP,HOLD,0.6200000000000045,"[-0.19000000000005457, 0.6200000000000045]"
82,2023-10-27 14:15:00,560.4,562.5,559.9,560.55,1767367,556.79,555.89,UP,HOLD,0.8999999999999773,"[0.22000000000002728, 0.8999999999999773]"
83,2023-10-27 15:15:00,560.55,561.8,560.5,561.7,690857,557.77,556.62,UP,HOLD,1.1499999999999773,"[0.6200000000000045, 1.1499999999999773]"
84,2023-10-30 09:15:00,563.0,563.15,556.5,557.45,1399998,557.71,556.72,UP,HOLD,0.9900000000000091,"[0.8999999999999773, 0.9900000000000091]"
85,2023-10-30 10:15:00,557.4,561.5,556.55,559.6,1161981,558.08,557.08,UP,HOLD,1.0,"[1.1499999999999773, 1.0]"
86,2023-10-30 11:15:00,559.5,563.75,559.4,562.8,899081,559.03,557.8,UP,HOLD,1.2300000000000182,"[0.9900000000000091, 1.2300000000000182]"
87,2023-10-30 12:15:00,562.8,564.75,561.9,564.4,958764,560.1,558.62,UP,HOLD,1.4800000000000182,"[1.0, 1.4800000000000182]"
